# STAR             = HIP114971
# RA(ICRS, deg)    = 349.29141
# Dec(ICRS, deg)   = 3.2822883
# pmRA  (mas/yr)   = 759.820
# pmDec (mas/yr)   = 17.7700
# parallax (mas)   = 23.6400
# Vrad  (km/s)     = -14480.0
# Vtemplate (km/s) = -43132.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2019-05-26T03-43-05_ext.ooo        2458629.6559325000  2458629.6550115515     -42121.21     -13987.29    130.94      6.01    7111.8
s1_2019-05-28T03-31-20_ext.ooo        2458631.6477788002  2458631.6470432933     -42383.98     -13968.55    139.84      7.49    6888.9
s1_2019-05-28T03-34-21_ext.ooo        2458631.6498706001  2458631.6491352916     -42380.43     -13966.82    136.52      6.69    7031.1
s1_2019-05-28T03-37-21_ext.ooo        2458631.6519561000  2458631.6512209894     -42382.48     -13970.75    134.83      7.16    6945.8
s1_2019-05-29T03-27-16_ext.ooo        2458632.6449541999  2458632.6443122020     -42517.71     -13974.52    110.43      4.85    7826.8
s1_2019-05-29T03-30-16_ext.ooo        2458632.6470412002  2458632.6463994011     -42518.82     -13977.46    102.97      4.27    7524.8
s1_2019-05-29T03-33-17_ext.ooo        2458632.6491359998  2458632.6484944001     -42519.20     -13979.75    116.81      5.02    8496.4
s1_2019-05-30T03-18-43_ext.ooo        2458633.6390216001  2458633.6384732248     -42645.21     -13979.75    124.30      5.63    6657.5
s1_2019-05-30T03-21-46_ext.ooo        2458633.6411314001  2458633.6405832265     -42644.67     -13980.98    123.08      5.82    6523.9
s1_2019-05-30T03-24-46_ext.ooo        2458633.6432182998  2458633.6426703259     -42642.87     -13980.99    126.39      6.02    6306.1
s1_2019-05-31T03-11-25_ext.ooo        2458634.6339441999  2458634.6334899105     -42735.29     -13956.59    114.07      5.35    8773.8
s1_2019-05-31T03-14-28_ext.ooo        2458634.6360593000  2458634.6356052142     -42738.93     -13961.94    109.94      5.04    9118.4
s1_2019-05-31T03-17-29_ext.ooo        2458634.6381627000  2458634.6377088157     -42729.93     -13954.72    105.59      4.71    9472.6
s1_2019-06-01T03-22-53_ext.ooo        2458635.6419071001  2458635.6415485088     -42849.46     -13977.26    124.54      5.31    6354.4
s1_2019-06-01T03-25-53_ext.ooo        2458635.6439956999  2458635.6436373098     -42843.74     -13973.58    133.26      6.36    6349.9
s1_2019-06-01T03-28-55_ext.ooo        2458635.6461009998  2458635.6457428122     -42843.26     -13975.23    128.00      6.17    6655.2
s1_2019-06-04T02-50-34_ext.ooo        2458638.6194655998  2458638.6193914888     -43126.28     -13984.58     91.78      3.96    3865.8
s1_2019-06-04T02-53-36_ext.ooo        2458638.6215752000  2458638.6215012944     -43115.29     -13975.26    142.23      7.83    4214.0
s1_2019-06-04T02-56-36_ext.ooo        2458638.6236618999  2458638.6235881969     -43117.89     -13979.58    121.21      6.07    4905.5
s1_2019-06-05T03-49-38_ext.ooo        2458639.6604867000  2458639.6605126569     -43134.62     -13973.21    105.41      4.30    8015.2
s1_2019-06-05T03-52-39_ext.ooo        2458639.6625758000  2458639.6626019599     -43127.36     -13968.95     84.04      3.11    8101.7
s1_2019-06-05T03-55-40_ext.ooo        2458639.6646799999  2458639.6647063647     -43128.29     -13972.94     82.89      2.88    7895.8
s1_2019-06-06T02-47-20_ext.ooo        2458640.6172245000  2458640.6173425284     -43243.89     -13977.35    141.99      7.22    4798.0
